id,name,fdemonym,mdemonym
533,Aruba,Aruban,Aruban
4,Afghanistan,Afghan,Afghan
24,Angola,Angolan,Angolan
660,Anguilla,Anguillian,Anguillian
248,Åland Islands,Ålandish,Ålandish
8,Albania,Albanian,Albanian
20,Andorra,Andorran,Andorran
784,United Arab Emirates,Emirati,Emirati
32,Argentina,Argentine,Argentine
51,Armenia,Armenian,Armenian
16,American Samoa,American Samoan,American Samoan
10,Antarctica,Antarctican,Antarctican
28,Antigua and Barbuda,Antiguan Barbudan,Antiguan Barbudan
36,Australia,Australian,Australian
40,Austria,Austrian,Austrian
31,Azerbaijan,Azerbaijani,Azerbaijani
108,Burundi,Burundian,Burundian
56,Belgium,Belgian,Belgian
204,Benin,Beninese,Beninese
854,Burkina Faso,Burkinabe,Burkinabe
50,Bangladesh,Bangladeshi,Bangladeshi
100,Bulgaria,Bulgarian,Bulgarian
48,Bahrain,Bahraini,Bahraini
44,Bahamas,Bahamian,Bahamian
70,Bosnia and Herzegovina,Bosnian Herzegovinian,Bosnian Herzegovinian
652,Saint Barthélemy,Saint Barthélemy Islander,Saint Barthélemy Islander
112,Belarus,Belarusian,Belarusian
84,Belize,Belizean,Belizean
60,Bermuda,Bermudian,Bermudian
76,Brazil,Brazilian,Brazilian
52,Barbados,Barbadian,Barbadian
64,Bhutan,Bhutanese,Bhutanese
74,Bouvet Island,,
72,Botswana,Motswana,Motswana
140,Central African Republic,Central African,Central African
124,Canada,Canadian,Canadian
166,Cocos (Keeling) Islands,Cocos Islander,Cocos Islander
756,Switzerland,Swiss,Swiss
152,Chile,Chilean,Chilean
156,China,Chinese,Chinese
120,Cameroon,Cameroonian,Cameroonian
184,Cook Islands,Cook Islander,Cook Islander
170,Colombia,Colombian,Colombian
174,Comoros,Comoran,Comoran
188,Costa Rica,Costa Rican,Costa Rican
192,Cuba,Cuban,Cuban
531,Curaçao,Curaçaoan,Curaçaoan
162,Christmas Island,Christmas Islander,Christmas Islander
136,Cayman Islands,Caymanian,Caymanian
196,Cyprus,Cypriot,Cypriot
276,Germany,German,German
262,Djibouti,Djibouti,Djibouti
212,Dominica,Dominican,Dominican
208,Denmark,Danish,Danish
214,Dominican Republic,Dominican,Dominican
12,Algeria,Algerian,Algerian
218,Ecuador,Ecuadorean,Ecuadorean
818,Egypt,Egyptian,Egyptian
232,Eritrea,Eritrean,Eritrean
732,Western Sahara,Sahrawi,Sahrawi
724,Spain,Spanish,Spanish
233,Estonia,Estonian,Estonian
231,Ethiopia,Ethiopian,Ethiopian
246,Finland,Finnish,Finnish
242,Fiji,Fijian,Fijian
250,France,French,French
234,Faroe Islands,Faroese,Faroese
266,Gabon,Gabonese,Gabonese
826,United Kingdom,British,British
268,Georgia,Georgian,Georgian
831,Guernsey,Channel Islander,Channel Islander
288,Ghana,Ghanaian,Ghanaian
292,Gibraltar,Gibraltar,Gibraltar
324,Guinea,Guinean,Guinean
312,Guadeloupe,Guadeloupian,Guadeloupian
270,Gambia,Gambian,Gambian
624,Guinea-Bissau,Guinea-Bissauan,Guinea-Bissauan
226,Equatorial Guinea,Equatorial Guinean,Equatorial Guinean
308,Grenada,Grenadian,Grenadian
304,Greenland,Greenlandic,Greenlandic
320,Guatemala,Guatemalan,Guatemalan
254,French Guiana,Guianan,Guianan
316,Guam,Guamanian,Guamanian
328,Guyana,Guyanese,Guyanese
344,Hong Kong,Hong Konger,Hong Konger
334,Heard Island and McDonald Islands,Heard and McDonald Islander,Heard and McDonald Islander
340,Honduras,Honduran,Honduran
191,Croatia,Croatian,Croatian
332,Haiti,Haitian,Haitian
348,Hungary,Hungarian,Hungarian
360,Indonesia,Indonesian,Indonesian
833,Isle of Man,Manx,Manx
356,India,Indian,Indian
86,British Indian Ocean Territory,Indian,Indian
372,Ireland,Irish,Irish
368,Iraq,Iraqi,Iraqi
352,Iceland,Icelander,Icelander
376,Israel,Israeli,Israeli
380,Italy,Italian,Italian
388,Jamaica,Jamaican,Jamaican
832,Jersey,Channel Islander,Channel Islander
400,Jordan,Jordanian,Jordanian
392,Japan,Japanese,Japanese
398,Kazakhstan,Kazakhstani,Kazakhstani
404,Kenya,Kenyan,Kenyan
417,Kyrgyzstan,Kirghiz,Kirghiz
116,Cambodia,Cambodian,Cambodian
296,Kiribati,I-Kiribati,I-Kiribati
659,Saint Kitts and Nevis,Kittitian or Nevisian,Kittitian or Nevisian
414,Kuwait,Kuwaiti,Kuwaiti
422,Lebanon,Lebanese,Lebanese
430,Liberia,Liberian,Liberian
434,Libya,Libyan,Libyan
662,Saint Lucia,Saint Lucian,Saint Lucian
438,Liechtenstein,Liechtensteiner,Liechtensteiner
144,Sri Lanka,Sri Lankan,Sri Lankan
426,Lesotho,Mosotho,Mosotho
440,Lithuania,Lithuanian,Lithuanian
442,Luxembourg,Luxembourger,Luxembourger
428,Latvia,Latvian,Latvian
504,Morocco,Moroccan,Moroccan
492,Monaco,Monegasque,Monegasque
498,Moldova,Moldovan,Moldovan
450,Madagascar,Malagasy,Malagasy
462,Maldives,Maldivan,Maldivan
484,Mexico,Mexican,Mexican
584,Marshall Islands,Marshallese,Marshallese
807,North Macedonia,Macedonian,Macedonian
466,Mali,Malian,Malian
470,Malta,Maltese,Maltese
104,Myanmar,Burmese,Burmese
499,Montenegro,Montenegrin,Montenegrin
496,Mongolia,Mongolian,Mongolian
580,Northern Mariana Islands,Mariana American,Mariana American
508,Mozambique,Mozambican,Mozambican
478,Mauritania,Mauritanian,Mauritanian
500,Montserrat,Montserratian,Montserratian
474,Martinique,Martinican,Martinican
480,Mauritius,Mauritian,Mauritian
454,Malawi,Malawian,Malawian
458,Malaysia,Malaysian,Malaysian
175,Mayotte,Mahoran,Mahoran
516,Namibia,Namibian,Namibian
540,New Caledonia,New Caledonian,New Caledonian
562,Niger,Nigerien,Nigerien
574,Norfolk Island,Norfolk Islander,Norfolk Islander
566,Nigeria,Nigerian,Nigerian
558,Nicaragua,Nicaraguan,Nicaraguan
570,Niue,Niuean,Niuean
528,Netherlands,Dutch,Dutch
578,Norway,Norwegian,Norwegian
524,Nepal,Nepalese,Nepalese
520,Nauru,Nauruan,Nauruan
554,New Zealand,New Zealander,New Zealander
512,Oman,Omani,Omani
586,Pakistan,Pakistani,Pakistani
591,Panama,Panamanian,Panamanian
604,Peru,Peruvian,Peruvian
608,Philippines,Filipino,Filipino
585,Palau,Palauan,Palauan
598,Papua New Guinea,Papua New Guinean,Papua New Guinean
616,Poland,Polish,Polish
630,Puerto Rico,Puerto Rican,Puerto Rican
620,Portugal,Portuguese,Portuguese
600,Paraguay,Paraguayan,Paraguayan
275,Palestine,Palestinian,Palestinian
258,French Polynesia,French Polynesian,French Polynesian
634,Qatar,Qatari,Qatari
638,Réunion,Réunionese,Réunionese
642,Romania,Romanian,Romanian
646,Rwanda,Rwandan,Rwandan
682,Saudi Arabia,Saudi Arabian,Saudi Arabian
729,Sudan,Sudanese,Sudanese
686,Senegal,Senegalese,Senegalese
702,Singapore,Singaporean,Singaporean
744,Svalbard and Jan Mayen,Norwegian,Norwegian
90,Solomon Islands,Solomon Islander,Solomon Islander
694,Sierra Leone,Sierra Leonean,Sierra Leonean
222,El Salvador,Salvadoran,Salvadoran
674,San Marino,Sammarinese,Sammarinese
706,Somalia,Somali,Somali
666,Saint Pierre and Miquelon,Saint-Pierrais Miquelonnais,Saint-Pierrais Miquelonnais
688,Serbia,Serbian,Serbian
728,South Sudan,South Sudanese,South Sudanese
740,Suriname,Surinamer,Surinamer
703,Slovakia,Slovak,Slovak
705,Slovenia,Slovene,Slovene
752,Sweden,Swedish,Swedish
748,Eswatini,Swazi,Swazi
690,Seychelles,Seychellois,Seychellois
796,Turks and Caicos Islands,Turks and Caicos Islander,Turks and Caicos Islander
148,Chad,Chadian,Chadian
768,Togo,Togolese,Togolese
764,Thailand,Thai,Thai
762,Tajikistan,Tadzhik,Tadzhik
772,Tokelau,Tokelauan,Tokelauan
795,Turkmenistan,Turkmen,Turkmen
626,Timor-Leste,East Timorese,East Timorese
776,Tonga,Tongan,Tongan
780,Trinidad and Tobago,Trinidadian,Trinidadian
788,Tunisia,Tunisian,Tunisian
792,Turkey,Turkish,Turkish
798,Tuvalu,Tuvaluan,Tuvaluan
158,Taiwan,Taiwanese,Taiwanese
834,Tanzania,Tanzanian,Tanzanian
800,Uganda,Ugandan,Ugandan
804,Ukraine,Ukrainian,Ukrainian
858,Uruguay,Uruguayan,Uruguayan
840,United States,American,American
860,Uzbekistan,Uzbekistani,Uzbekistani
670,Saint Vincent and the Grenadines,Saint Vincentian,Saint Vincentian
704,Vietnam,Vietnamese,Vietnamese
548,Vanuatu,Ni-Vanuatu,Ni-Vanuatu
876,Wallis and Futuna,Wallis and Futuna Islander,Wallis and Futuna Islander
882,Samoa,Samoan,Samoan
887,Yemen,Yemeni,Yemeni
710,South Africa,South African,South African
894,Zambia,Zambian,Zambian
716,Zimbabwe,Zimbabwean,Zimbabwean
